mascot,seed,data_mascot,data_article,data_date,data_views
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-01,863
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-02,348
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-03,303
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-04,132
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-05,132
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-06,107
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-07,115
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-08,197
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-09,160
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-10,111
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-11,95
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-12,113
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-13,102
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-14,96
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-15,169
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-16,320
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-17,140
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-18,121
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-19,143
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-20,142
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-21,109
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-22,272
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-23,193
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-24,151
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-25,127
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-26,123
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-27,134
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-28,144
Brutus Buckeye,2,Brutus Buckeye,Brutus_Buckeye,2025-11-29,2046
